,Bayesian CNN
0,9.996134042739868
1,7.053532600402832
2,7.188443660736084
3,6.9471495151519775
4,6.885366439819336
5,6.835334062576294
6,7.146540403366089
7,7.020639181137085
8,7.077385187149048
9,6.965810775756836
10,7.267480134963989
11,8.038811206817627
12,7.595724582672119
13,7.177926301956177
14,7.619261026382446
15,7.197383403778076
16,7.324386358261108
17,7.452548980712891
18,7.228856325149536
19,7.570675373077393
20,7.740934610366821
21,7.115072965621948
22,7.031705856323242
23,7.035627603530884
24,7.035184383392334
25,7.195240259170532
26,7.330941677093506
27,7.179991960525513
28,7.179672956466675
29,7.344393014907837
