,Bayesian CNN,Classical CNN,epoch
0,17861430.0,0.0,1
1,23763968.0,0.0,2
2,32349418.0,0.0,3
3,44450460.0,0.0,4
4,61401372.0,0.0,5
5,84542360.0,0.0,6
6,115518008.0,0.0,7
7,155205552.0,0.0,8
8,204272800.0,0.0,9
9,262119840.0,0.0,10
10,327211840.0,0.0,11
11,397965568.0,0.0,12
12,471861760.0,0.0,13
13,548753152.0,0.0,14
14,626503488.0,0.0,15
15,706868416.0,0.0,16
16,788234176.0,0.0,17
17,868161344.0,0.0,18
18,950857536.0,0.0,19
19,1032761472.0,0.0,20
20,1116951808.0,0.0,21
21,1202786688.0,0.0,22
22,1285110656.0,0.0,23
23,1366679424.0,0.0,24
24,1448518528.0,0.0,25
25,1533558272.0,0.0,26
26,1617910016.0,0.0,27
27,1699734400.0,0.0,28
28,1785876480.0,0.0,29
29,1868221312.0,0.0,30
